,Municipality,Property_type,Year,Price_min,Price_max,Size_min,Size_max,totalhits,number_of_pages
136,Silkeborg,villa,2021,nothing,nothing,nothing,nothing,1867,94
137,Silkeborg,villa,2020,nothing,nothing,nothing,nothing,1581,80
138,Silkeborg,villa,2019,nothing,nothing,nothing,nothing,1410,71
139,Silkeborg,villa,2018,nothing,nothing,nothing,nothing,1354,68
140,Silkeborg,villa,2017,nothing,nothing,nothing,nothing,1275,64
141,Silkeborg,villa,2016,nothing,nothing,nothing,nothing,1083,55
142,Silkeborg,villa,2015,nothing,nothing,nothing,nothing,1063,54
143,Silkeborg,villa,2014,nothing,nothing,nothing,nothing,852,43
144,Silkeborg,villa,2013,nothing,nothing,nothing,nothing,810,41
145,Silkeborg,condo,nothing,nothing,nothing,nothing,nothing,2163,109
146,Silkeborg,terraced house,nothing,nothing,nothing,nothing,nothing,1541,78
147,Viborg,villa,2023,nothing,nothing,nothing,nothing,750,38
148,Viborg,villa,2022,nothing,nothing,nothing,nothing,1194,60
149,Viborg,villa,2021,nothing,nothing,nothing,nothing,1666,84
150,Viborg,villa,2020,nothing,nothing,nothing,nothing,1417,71
151,Viborg,villa,2019,nothing,nothing,nothing,nothing,1274,64
152,Viborg,villa,2018,nothing,nothing,nothing,nothing,1301,66
153,Viborg,villa,2017,nothing,nothing,nothing,nothing,1316,66
154,Viborg,villa,2016,nothing,nothing,nothing,nothing,1105,56
155,Viborg,villa,2015,nothing,nothing,nothing,nothing,1149,58
156,Viborg,villa,2014,nothing,nothing,nothing,nothing,947,48
157,Viborg,villa,2013,nothing,nothing,nothing,nothing,852,43
158,Viborg,condo,nothing,nothing,nothing,nothing,nothing,1972,99
159,Viborg,terraced house,nothing,nothing,nothing,nothing,nothing,1373,69
160,Horsens,villa,2023,nothing,nothing,nothing,nothing,702,36
161,Horsens,villa,2022,nothing,nothing,nothing,nothing,1142,58
162,Horsens,villa,2021,nothing,nothing,nothing,nothing,1716,86
163,Horsens,villa,2020,nothing,nothing,nothing,nothing,1462,74
164,Horsens,villa,2019,nothing,nothing,nothing,nothing,1294,65
165,Horsens,villa,2018,nothing,nothing,nothing,nothing,1313,66
166,Horsens,villa,2017,nothing,nothing,nothing,nothing,1258,63
167,Horsens,villa,2016,nothing,nothing,nothing,nothing,1065,54
168,Horsens,villa,2015,nothing,nothing,nothing,nothing,1058,53
169,Horsens,villa,2014,nothing,nothing,nothing,nothing,848,43
170,Horsens,villa,2013,nothing,nothing,nothing,nothing,796,40
171,Horsens,condo,nothing,nothing,nothing,nothing,nothing,3473,174
172,Horsens,terraced house,nothing,nothing,nothing,nothing,nothing,1142,58
173,Kolding,villa,2023,nothing,nothing,nothing,nothing,689,35
174,Kolding,villa,2022,nothing,nothing,nothing,nothing,995,50
